Data Name	Type	Date	Growth	TimePoint	Temp.	Mutant	Media	MediaGrowthProperties	Nb genes	Strain used	Strain array	Reference	ArrayExpressId	ArrayExpressTechnoID
BHI_2014_EGDe	RNASeq	10/10/2104	Exp phase		37		BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Wehner et al., Plos One 2014 (Pubmed:25286309)	PRJEB6949	Ion Torrent PGM (Single end)
EGD_WT	GeneExpr, Tiling	28/02/2012	Exp phase		37		BHI Broth			Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	Becavin et al., MBio 2014 (Pubmed:24667708)	E-MTAB-1676	A-AFFY-140
EGDe_280212	GeneExpr, Tiling	28/02/2012	Exp phase		37		BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Becavin et al., MBio 2014 (Pubmed:24667708)	E-MTAB-1676	A-AFFY-140
EGDe_30C	TSS	01/01/2011	Exp phase		37		BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Wurtzel et al., MSB 2012 (Pubmed:22617957)	E-GEOD-36060	Illumina Genome Analyzer (Single end)
EGDe_37C_RiboSeq	RiboSeq	08/06/2016	Exp phase		37		BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Dar et al., Science 2016 (Pubmed:27120414)	ENA:PRJEB12568	Illumina Miseq, HiSeq. 1500, or NextSeq. 500 (Single end)
EGDe_37C_TSS	TSS	01/01/2011	Exp phase		37		BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Wurtzel et al., MSB 2012 (Pubmed:22617957)	E-GEOD-36060	Illumina Genome Analyzer (Single end)
EGDe_37C_TermSeq	TermSeq	08/06/2016	Exp phase		37		BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Dar et al., Science 2016 (Pubmed:27120414)	ENA:PRJEB12568	Illumina Miseq, HiSeq. 1500, or NextSeq. 500 (Single end)
Extracellular_UGiessen_2010	GeneExpr	11/03/2010	Exp phase		37		BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Mhraeil et al., N.A.R. 2011 (Pubmed:21278422)	E-TABM-663	A-MEXP-752
IFN_Intracellular_UGiessen_2010	GeneExpr	11/03/2010	Exp phase	45min	37		Mouse macrophages cells, IFN gamma	Mouse macrophages cells P388D1, Interferon gamma 100 U/ml		Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Mhraeil et al., N.A.R. 2011 (Pubmed:21278422)	E-TABM-663	A-MEXP-752
Intracellular_UGiessen_2010	GeneExpr	11/03/2010	Exp phase	45min	37		Mouse macrophages cells	Mouse macrophages cells P388D1		Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Mhraeil et al., N.A.R. 2011 (Pubmed:21278422)	E-TABM-663	A-MEXP-752
Macrophages_2014_EGDe	RNASeq	10/10/2014	Exp phase		37		Mouse macrophages cells	Mouse macrophages cells P388D1		Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Wehner et al., Plos One 2014 (Pubmed:25286309)	PRJEB6949	Ion Torrent PGM (Single end)
prfA_Star	GeneExpr, Tiling	28/02/2012	Exp phase		37	lmo0200_Over	BHI Broth			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Becavin et al., MBio 2014 (Pubmed:24667708)	E-MTAB-1676	A-AFFY-140
